komentar;kategori;
enak ya jadi editornya kak kimi tiap hari bisa sange terus tanpa nonton ikeh;cyberbullying;
enak ya pacar bohongan jiplak lagu melodi orang sekarang tunjukkan wajah asli dasar;cyberbullying;
ew jelek bau lagi;cyberbullying;
ew mukanya laki banget;cyberbullying;
fansnya banyak tapi hatersnya juga lebih banyak gara gara kelakuannya yang aneh dan caper jijik deh;cyberbullying;
fatah fatah biar gimana juga orang yang kamu hina itu perempuan asli bukan ngaku perempuan kayak kamu;cyberbullying;
ga cocok banget itu baju kalau dipakai sama lu;cyberbullying;
ga mau punya badan kayak lu;cyberbullying;
ga mimpi indah tapi mimpi buruk anjing;cyberbullying;
ga pantas pakai baju bagus mirip gembel;cyberbullying;
ga usah beli sabunnya nanti kek si kekeyi jadinya sok sok an;cyberbullying;
gara gara lihat ini aku jadi ga bisa tidur sekalinya tidur mimpi buruk;cyberbullying;
gatau malu sekali ingin tabok biar sadar diri kalau dia jelek;cyberbullying;
gaya lu sudah kayak yang paling sempurna;cyberbullying;
gede banget tetek;cyberbullying;
gede sekali tetek nya;cyberbullying;
geli;cyberbullying;
geli aku njir;cyberbullying;
geli gw cuk;cyberbullying;
geli gw sama suara nya sudah serak hidung terus lagi huek;cyberbullying;
geli lihat mukanya;cyberbullying;
gemuk hitam tonggos wah lengkap sekali;cyberbullying;
gendut;cyberbullying;
gendut dekil dan kampungan sekali haha;cyberbullying;
gendut sekali;cyberbullying;
gendut ya kak kayak sapi;cyberbullying;
genitnya jadi laki laki;cyberbullying;
gigi kamu di dandanin biar sesekali tidak curi mulai duluan;cyberbullying;
gigi kekeyi kayak minta di hujat aku;cyberbullying;
gigi kelinci;cyberbullying;
gigi lu benarin dulu anjing sok ngartis lu trend tapi bayar temannya cuma ribu apa sih;cyberbullying;
gigi tonggos;cyberbullying;
gigi tonggos saja dipamerin dasar tolol;cyberbullying;
gigimu itu loh mbak key;cyberbullying;
giginya mirip ama pacul;cyberbullying;
giginya tidak santai bude;cyberbullying;
giginya tuh diperbaiki dulu anjing;cyberbullying;
gila anjir;cyberbullying;
gila laki banget gayanya;cyberbullying;
gila memang;cyberbullying;
gila parah;cyberbullying;
gila pecah nanti;cyberbullying;
gila sudah sudah juta subscribe semoga tidak naik amin;cyberbullying;
gimana mau percaya bikin putih kayak barbie lu aja kayak gitu bentukannya;cyberbullying;
gimana musik indonesia mau maju kualitas suara aja jelek ya di hujat kalau bilang bagus korek kupingnya plagiat lagu ini mirip ciptaan papa t bob judul menulis diatas kertas;cyberbullying;
gimana sih lu lupain sahabat goblok;cyberbullying;
goblok;cyberbullying;
goblok dari sananya dasar homo;cyberbullying;
goblok woi;cyberbullying;
gobloknya ;cyberbullying;
goyang dong tante;cyberbullying;
goyang susu nya astaga;cyberbullying;
gw geli dengar suara lu ;cyberbullying;
gw heran orang ulama yang susah berdakwah aja di banned instagram tapi orang yang maksiat kayak gini tidak di banned astagfirullah;cyberbullying;
gw jijik ya lihat ;cyberbullying;
gw pakai ni foto buat bacol yang keluar bukan sperma malah kencing;cyberbullying;
habis lihat ini langsung mimpi buruk deh bangsat;cyberbullying;
hah kamu artis papan atas mau muntah aku hey kak kamu itu cuman banci yang lagi viral ya karena operasi kelamin mu itu kak sadar diri kenapa jadi orang jangan banyak halu ya kak;cyberbullying;
haha dia ga punya kaca kakak kaca nya kurang gede itu;cyberbullying;
haha laki laki kok malah jadi perempuan keliatan banget;cyberbullying;
haha ngakak njirr ingat lu itu laki anjir astaga ;cyberbullying;
haha papan atas baru muncul di tv beberapa kali aja papan atas prestasi lu apa lucinta lu aja di tv gara gara hujatan mau bilang papan atas lu di antv main komedian tau memang;cyberbullying;
haha tetek halusinasi kamu bencong;cyberbullying;
halah yang di lihat bukan gamenya tapi orangnya jujur dong tidak usah nyari alasan padahal yang dilihat buah dadanya;cyberbullying;
halo montok;cyberbullying;
halu nya ketinggian sahabat jangan lupa ngaca ya sadar diri kamu jelek;cyberbullying;
hancur kalau lu yang endorse;cyberbullying;
haram anjing;cyberbullying;
harusnya aku itu kalau tidak suka langsung klik tapi ga tahu kenapa ini malah aku tonton terus sumpah kesel banget sama ni orang semenjak lagunya terkenal dia makin makin makin makin makin makin makin menjadi kalau tidak ditonton aku nya kepo yaa allah ingin aku ini bocah satu nyebelin banget;cyberbullying;
hasil oplas saja bangga;cyberbullying;
hasil oplas saja bangga yang natural dong mensyukuri nikmat tuhan ;cyberbullying;
hasil suntik saja belagu lu;cyberbullying;
hati hati kontolnya kelihatan;cyberbullying;
hati hati ratu ditepok nanti silikon nya pecah ambyar;cyberbullying;
hati hati ratu takut pecah telurnya kena benturan keras;cyberbullying;
hati hati silikon nya geser nanti miring ratu;cyberbullying;
hebat ya ratu semua juga tahu ratu itu ladang uang para orang tolol yang pansos ya sama ratu;cyberbullying;
hei kamu bencong laknat ;cyberbullying;
hei lihat kamu jadi ingin muntah;cyberbullying;
hey kamu banyak gaya sudah banci tidak tahu malu;cyberbullying;
hey kamu daraarafah muntahan lihat aku artis papan atas hey kamu muntahan setan lagunya terngiang ngiang;cyberbullying;
hujat terus biar dia tahu kalau dia itu tidak sempura sok cantik;cyberbullying;
idih amit amit ada keluarga gw yang kayak begni pantes aja jatuh miskin ya kerjaannya sok sok kaya banget pansas pansos tai kucing tau bang pakai peci bukan hijab bencong yang ga punya prestasi cuma bisa bikin sensasi ga jelas;cyberbullying;
idih kardusnya aja yakan tidak usah sok kaya bukan kaya benaran;cyberbullying;
idiot sekolah dulu yang benar;cyberbullying;
ih bibir nya kayak habis kena catokan;cyberbullying;
ih huek;cyberbullying;
ih padahal pantat palsu;cyberbullying;
ih tas belanjaan nya kosong sok kaya lu lucintaluna;cyberbullying;
ingat masih hutang  juta tu mas kata mami sama gaby jangan ngomongin si dara dia mah perempuan dari orok pasti cantik dia lah;cyberbullying;
ingin jadi da kyung jauh bangsat;cyberbullying;
ingin kali kutamparkan rasanya anjing ;cyberbullying;
ingin ku pukul pantat mu pakai sekop biar makin aduhai;cyberbullying;
ingin sekali ngeue sama kimi hime;cyberbullying;
inginnya mirip kayak da kyung tapi kerjaannya cuman mukbang sikapnya makin hari makin ngeselin gayanya sengaja di imut imutin padahal orang orang lihatnya menjijikan dia selalu ngelovein komentar komentar yang bagus doang sedangkan komentar yang mencoba ngerubah diri dia malah tidak di dengarin gayanya ala ala ka rachel atau ka ricis pokoknya nyebelin sekali dah ni orang sumpah aku yakin pasti komen aku tidak bakal di baca sama si boneka;cyberbullying;
ini bukan boneka mah ini boneka santet;cyberbullying;
ini ga ada yang mau ngasih endorse behel apa ke kekeyi;cyberbullying;
ini lagu pki ya;cyberbullying;
ini mah bukan da kyung tapi ikan duyung;cyberbullying;
ini nih calon ahli neraka;cyberbullying;
ini orang gila yang baru lepas kemarin ya;cyberbullying;
ini orang ingin aku tabok ngaku ngaku ramen dari korea aku sebagai wibu ga terima sudah songong ga jelas lagi makin kesal aku;cyberbullying;
ini sih lonte banget;cyberbullying;
ini ya lagu pelancar berak;cyberbullying;
ini yang endorse tidak rugi apa ya;cyberbullying;
ini yang katanya sama dengan kely jenner norak lu kotak semua ga ada isi nya beda kelas lah cung;cyberbullying;
ini yang sedikit korengan;cyberbullying;
intinya muka mu tambah kayak bude bude;cyberbullying;
isi komentarnya benci semua anjir capek like komentarnya;cyberbullying;
istri lucinta luna jalannya aneh banget ya;cyberbullying;
itu gigi apa pencakar batu anjing;cyberbullying;
itu hidung kok pesek banget ya kayak babi;cyberbullying;
itu kalau ada airnya kaki ratu lagsung dempet jadi satu membentuk ekor buaya;cyberbullying;
itu kamu dandan anjir;cyberbullying;
itu kelihatan banget ada paperbag yang kosong jangan cuma paperbag nya aja itu semuanya terus itu badan mau di obral kok diekspos macam gitu mending yang di ekspos nya yang asli dari tuhan lah ini buatan manusia semua haha;cyberbullying;
itu kenapa kontol ditutupi;cyberbullying;
itu kipas matiin dulu sahabat ya aku kan jadi kesel sahabat rasanya pingin ngomong bangsat sahabat;cyberbullying;
itu lekong jalan nya perempuan banget ya sok sok an digagahin tetap aja kelihatan;cyberbullying;
itu manusia apa babi kok bisa mirip ya sama sama jelek dan idiot;cyberbullying;
itu muka apa bakpau putih sekali;cyberbullying;
itu muka apa pentol sahabat;cyberbullying;
itu otak tidak pernah dipakai ya pantas makin tolol dan bolot;cyberbullying;
itu pantat dilapisin semen holcim kokoh banget itu ;cyberbullying;
itu pantat keras banget kayak beton ;cyberbullying;
itu pita merah muda yang di kepala yang buat hiasan kado bukan ya;cyberbullying;
itu si abas kelihatan perempuan nya kalau jalan;cyberbullying;
itu silikon tebal gila mek;cyberbullying;
itu syutingnya dirumah apa dipinggir pantai sih budek nih kuping;cyberbullying;
itu tetek kamu kegantung;cyberbullying;
itu tytyd apa anyink;cyberbullying;
itu waria bisa jadi artis pansos terus;cyberbullying;
itu yang tetek nya pernah ke belakang ya;cyberbullying;
jadi gini tod kita semua rata rata hujat kau karena sifat dan perilakumu yang idiot kami tak permasalahkan dulu fisikmu kami dulu mengasihani bahkan pernah menyukai tetapi itu berubah karena lu alay bahkan mempermalukan diri sendiri di depan publik dan hal kebodohan itu bisa mencemari nama negara indonesia karena menghormati orang bodoh dan membuang orang berilmu begini pun pasti ada yang mengomentari saya ga peduli itu semua fakta dan kalian bisa lihat sekarang bahkan sedetik ini;cyberbullying;
jadi orang kok baperan bikin malu saja;cyberbullying;
jadi tepos kak kimi;cyberbullying;
jalan nya kayak bebek malah sengaja nungging amit kalau perempuan benaran mah ga begitu jalannya;cyberbullying;
jalannya si abas aneh banget;cyberbullying;
jangan di tepok pantatnya hasil oplas kan;cyberbullying;
jangan ngundang orang buat hujat nanti giliran di hujat nangis di siaran merasa terdzolimi orang sebenarnya pada simpatik tapi karena makin kesini lagaknya kayak gitu ya bukan simpatik malah jadi jijik ya lihatnya sebal;cyberbullying;
jangan sok seksi itu muka;cyberbullying;
jelek anjir lagunya sakit telinga ku;cyberbullying;
jelek banget dih mukanya kaya nenek jompo;cyberbullying;
jelek banget si fatah ya ampun;cyberbullying;
jelek bangsat sekali kamu;cyberbullying;
jelek mah jelek saja tidak perlu ke centilan di cakepin kali;cyberbullying;
jelek mending lihat bonekanya daripada dia sukanya mukbang pentol;cyberbullying;
jelek sekali;cyberbullying;
jembut mu diurus dulu monyet;cyberbullying;
jijay;cyberbullying;
jijik;cyberbullying;
jijik aku lihatnya;cyberbullying;
jijik anjing;cyberbullying;
jijik anjir;cyberbullying;
jijik banget;cyberbullying;
jijik banyak jigong;cyberbullying;
jijik cuma mau diberitakan di trending topik bikin lagu yang tidak pantas buat panutan artis papan atas;cyberbullying;
jijik dasar dihukum rajam aja elu ga sadar dasar kemaluan plastik;cyberbullying;
jijik gua lihatnya;cyberbullying;
jijik ih kalau di lihat anak anak gimana mikir dong pakai otak jangan pakai dengkul;cyberbullying;
jijik juga lihatnya;cyberbullying;
jijik kenapa harus kayak gitu geli;cyberbullying;
jijik ketawa lu;cyberbullying;
jijik sahabat;cyberbullying;
jijik sumpah makin lama makin sombong anjir;cyberbullying;
jual diri banget;cyberbullying;
jual tetek;cyberbullying;
jual tetek sebab ingin terkenal fuck;cyberbullying;
judul kekeyi bukan da kyung aku yang bilang kamu mirip da kyung siapa nyet;cyberbullying;
ka lucinta itu pantat nya burik ya ;cyberbullying;
kacang lupa sama kulit nya sudah trending sombong banget najis teman nya malah di lupain;cyberbullying;
kak aku rasa lucu aja sih kamu kan artis kok kata kata nya kayak banci yang baru lihat laki ganteng sih ;cyberbullying;
kak kenapa ga bugil lagi;cyberbullying;
kak kimi ingin lihat tetek nya;cyberbullying;
kak kimi ngentod kuy;cyberbullying;
kak kimi sudah berubah terus gimana para subscribers nya apa kabar tidak bisa ngocok lagi ya haha;cyberbullying;
kak kimi tetek mantap betul;cyberbullying;
kak kok anus nya besar;cyberbullying;
kak ngentot yuk;cyberbullying;
kak tolong buat konten wik wik dong ah i love you;cyberbullying;
kakak foto tetek dong;cyberbullying;
kakak kimi lihat tetek nya dong satu kali saja;cyberbullying;
kakak lebih mirip monyet;cyberbullying;
kakak wik wik yu;cyberbullying;
kalau aku jadi dara ga cuma di taburin garam aja bang tapi di pagarin listrik;cyberbullying;
kalau deket sudah aku kemplang;cyberbullying;
kalau dia meninggal disebut apa ya almarhum apa almarhumah haha;cyberbullying;
kalau digigit kekeyi kena rabies ga ya ;cyberbullying;
kalau kamu bukan gemuk sehat tapi gemuk ga wajar masa yang besar cuma perut sama tangan buntet;cyberbullying;
kalau kamu itu perempuan kamu terkenal dari dulu karena kecantikan mu tapi kamu terkenalnya sekarang berarti dulu nya kamu punya kontol dong;cyberbullying;
kalau kipas anginnya di matiin takut keteknya berair kali;cyberbullying;
kalau komentar yang benar jangan ngehujat capek aku like nya;cyberbullying;
kalau pakai bedak aja klihatan banget lakinya;cyberbullying;
kalau sudah ditakdirkan jelek hitam atau apalah itu harus disyukuri ga usah pakai mau putih segala allah marah tau lihat para umatnya mau segala di putihin gitu ga sekalian gigi lu key di putihin gitu ;cyberbullying;
kalau tidak ada hukum didunia ini sudah gw mutilasi nih orang;cyberbullying;
kalau tidak tetek ya pantat;cyberbullying;
kami butuh meme kamu lagi walaupun banyak dihujat tetap menghibur loh;cyberbullying;
kampungan geli ew lihatnya;cyberbullying;
